timestamp,app_name,total_connections,unique_destinations,services_accessed,email_connections
2024-11-16T13:42:24.460475,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:29.887366,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:29.887366,firefox,3,3,WEB,0
2024-11-16T13:42:29.887366,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:29.887366,warp-terminal,4,4,WEB,0
2024-11-16T13:42:29.887366,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:29.887366,Code,1,1,WEB,0
2024-11-16T13:42:29.887366,vdb,1,1,OTHER,0
2024-11-16T13:42:29.887366,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:29.887366,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:35.173305,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:35.173305,firefox,3,3,WEB,0
2024-11-16T13:42:35.173305,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:35.173305,warp-terminal,4,4,WEB,0
2024-11-16T13:42:35.173305,brave,12,13,"WEB,OTHER",0
2024-11-16T13:42:35.173305,Code,1,1,WEB,0
2024-11-16T13:42:35.173305,vdb,1,1,OTHER,0
2024-11-16T13:42:35.173305,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:35.173305,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:40.474833,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:40.474833,firefox,3,3,WEB,0
2024-11-16T13:42:40.474833,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:40.474833,warp-terminal,4,4,WEB,0
2024-11-16T13:42:40.474833,brave,12,13,"WEB,OTHER",0
2024-11-16T13:42:40.474833,Code,1,1,WEB,0
2024-11-16T13:42:40.474833,vdb,1,1,OTHER,0
2024-11-16T13:42:40.474833,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:40.474833,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:45.834949,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:45.834949,firefox,3,3,WEB,0
2024-11-16T13:42:45.834949,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:45.834949,warp-terminal,4,4,WEB,0
2024-11-16T13:42:45.834949,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:45.834949,Code,1,1,WEB,0
2024-11-16T13:42:45.834949,vdb,1,1,OTHER,0
2024-11-16T13:42:45.834949,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:45.834949,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:51.151460,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:51.151460,firefox,3,3,WEB,0
2024-11-16T13:42:51.151460,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:51.151460,warp-terminal,4,4,WEB,0
2024-11-16T13:42:51.151460,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:51.151460,Code,1,1,WEB,0
2024-11-16T13:42:51.151460,vdb,1,1,OTHER,0
2024-11-16T13:42:51.151460,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:51.151460,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:56.589270,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:56.589270,firefox,3,3,WEB,0
2024-11-16T13:42:56.589270,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:56.589270,warp-terminal,4,4,WEB,0
2024-11-16T13:42:56.589270,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:56.589270,Code,2,2,WEB,0
2024-11-16T13:42:56.589270,vdb,1,1,OTHER,0
2024-11-16T13:42:56.589270,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:56.589270,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:01.880368,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:01.880368,firefox,3,3,WEB,0
2024-11-16T13:43:01.880368,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:01.880368,warp-terminal,4,4,WEB,0
2024-11-16T13:43:01.880368,brave,12,13,"WEB,OTHER",0
2024-11-16T13:43:01.880368,Code,2,2,WEB,0
2024-11-16T13:43:01.880368,vdb,1,1,OTHER,0
2024-11-16T13:43:01.880368,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:01.880368,NetworkManager,2,2,OTHER,0
